sun,1.9885e30,6.9550e8,0,0
mercury,3.3011e23,2.4397e6,5.7909e10,4.7362e4
venus,4.8675e24,6.0518e6,1.0821e11,3.5020e4
earth,5.9724e24,6.3710e6,1.4960e11,2.9780e4
mars,6.4171e23,3.3895e6,2.2794e11,2.4007e4
jupiter,1.8982e27,6.9911e7,7.7834e11,1.3070e4
saturn,5.6834e26,5.8232e7,1.4267e12,9.6800e4
uranus,8.6810e325,2.5362e7,2.8707e12,6.8000e4
neptune,1.0241e26,2.4622e7,4.4984e12,5.4300e4
